Work Item Type,Title 1,Title 2,Title 3,Title 4,Description,Acceptance Criteria,Priority,tags
Epic,DevSecOps,,,,"This Epic, as created by CSE Core DevOps' packaged sprint, is meant to guide engineers through adding DevSecOps practices to their workflow. In some scenarios third party tooling is required in order to achieve the scenario. We have tried many tools out in these scenarios and our selected tools are simply a recommendation but typically the scenario can be fulfilled with a variety of tools that offer similar functionality and capabilities.",This Epic can be considered complete once the engineering team has create all of the appropriate tooling as decided by the development team. This epic is meant to be suggestive of good DevSecOps practices and depending on the specifics of the project all of the Features will not be a good fit. Those deemed incompatiple by the project team should be closed with reason given during sprint planning cycle when the packaged sprint is added to the project board in Azure DevOps.,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Feature,,Plan for DevSecOps,,,"Shifting left is a team sport! <br> Although the Packaged Sprint for DevSecOps has introduced features to drive adoption into your project boards, the team must be ready to adopt the concepts and patterns that are conducive drivers of the process. <br> This planning feature is designed to facilitate understanding, discussion, and some decisions to begin the work of Shifting Left. ",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
User Story,,,Introduce DevSecOps,,As a project team we need to make a choice on what Workflow Pattern best fits with our process and CI strategy. ,,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,Hold Team Discussion on DevSecOps,"The DevSecOps Packaged Sprint injects options on how to incorporate tooling and get feedback into ADO, which facilitates the adoption of DevSecOps.  Yet, without some understanding of the basic concepts, this could become a hollow endeavor. <br> Review the README file included with the packaged sprint materials with the engineering team and project participants and decide how to Shift Left. <br> As part of this task, the team should make choices on which workflow pattern best fits: the project goals and team style.  Be sure to note the choice and key discussion points so that the team is always able to gain understanding into the approach.",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,Prepare ADO for Chosen DevSecOps Workflow,"After selecting the workflow pattern that best fits your project, prepare ADO for that pattern. For instance, you may need to increase the number of available agents or create a pipeline that will serve as the root to tie DevSecOps dependencies together or create a directory that will hold templates for simplifying the main security pipeline.",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,Review Packaged Spring Stories and Features,"The DevSecOps Packaged Sprint suggests some practices that have been useful in many projects looking to improve feedback on good coding practices into security-minded teams. However, all of the tools may not be a fit for every project. Ultimately, the project team is responsible for deciding what fits. <br> Review the features imported with the Packaged Sprint (search #PackagedSprint or #DevSecOps in ADO) to make sure that all of the toolings fit with the project from both a tech-stack and cost perspective. In areas where other tools are a better-fit, update the related stories. For stories that don't belong, please make a note of why the specific scenario doesn't fit the project and close them out.",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Feature,,Credential and Secret Scanning,,,Improve security in development process by addiing automated credential scanning into the projects Azure DevOps Project. ,A selection of tools has been added to the projects CI/CD automation to automate the discovery of Credentials in the source code.,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
User Story,,,Add CredScan,,"As an engineer I want clear indicators if my code is intoducing passwords or other credential information. This can be accomplished using the CredScan extension included in the <a href=""https://aka.ms/mscadocs"">MSFT Secure Develoment Tools Extension</a>. Details on the scenario of adding the CredScan Extension to AzDo can be found in the CSE-DevSecOps documents <a href=""https://github.com/microsoft/CSEDevSecOps/tree/master/Scenarios/CredentialScanning"">here</a>",Associated tasks are completed in order: <ol><li>Request access to secure development tools</li> <li>Create pipeline for credential scanning</li><li>Review result and initial remediation/suppressions</li><li>Add branch policy for CredScan</li></ol>,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,Request access to Secure Development Tools,"Ensure that the Secure Development Tools Extension is installed in the organization by following the guidance found here: <a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/CredentialScanning/RequestAccessAndInstall.md"">Process Guidance</a>. Once the SDT team has provided access to the extension ensure that it is installed in the organization. The installation requires an AzDO admin.",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,Create pipeline for credential scanning,"Create a pipeline that will add the CredScan tool to AzDO once the extension is installed. A sample pipeline can be found <a href=""https://github.com/microsoft/CSEDevSecOps/tree/master/pipelines/CredScanning"">here</a>. ",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,Review results and initial remediation/suppressions,"After creating the pipeline an initial run will identify any secrets currently found in the source code and fail the build if any are found. Use the report attached to your build to review those secrets and find those discovered secrets. Although it is highly recommended that no secrets be included in the source code it is possible to add <a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/CredentialScanning/Suppressions.md"">suppressions</a> (exclusions) to CredScan that will pass your build while leaving any secrets that the team had decided to leave in the code.",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
